Soft Currency	Hard Currency	Heart	Food	Worlds	Upgrade	Level	Videos	Skill level	IAPs	IAP spend $	Additional SC	Get Heart Video	Double Reward Videos	Gacha Wheel Videos	Get Gems Videos
44207.13428296588	36.658814857818	0.0	69.5	3.0	69.5	36.52	21.58	0.16324397456031592	0.92	4.750800000000001	0.2	1.06	5.58	7.3	7.64
48617.558102090385	42.88977826312247	0.0	70.24	3.0	70.24	36.96	22.3	0.16718134627222125	0.98	4.930199999999999	0.2	1.16	5.78	7.48	7.88
63256.248644282474	46.89945848879532	0.0	70.8	3.0	70.8	37.3	23.12	0.17159017178984684	1.0	5.0299999999999985	0.2	1.16	6.06	7.74	8.16
61929.1328796126	57.12108697054126	0.0	71.52	3.0	71.52	37.68	23.92	0.17572906593646856	1.1	5.6690000000000005	0.2	1.16	6.36	8.06	8.34
71109.53719026636	56.68832231047682	0.0	72.12	3.0	72.12	38.14	24.94	0.18002604631019786	1.12	5.7688000000000015	0.2	1.24	6.68	8.34	8.68
78561.74997497404	61.07034521207716	0.0	72.64	3.0	72.64	38.48	25.58	0.18450396969974206	1.18	6.0482000000000005	0.24	1.32	6.84	8.58	8.84
78283.95206785832	55.20311791243418	0.0	73.24	3.02	73.24	38.76	26.36	0.18949024951111787	1.24	6.2876	0.26	1.4	7.1	8.88	8.98
89860.27258086286	62.44402649461201	0.0	73.56	3.06	73.56	38.96	27.2	0.19481150091154442	1.3	6.527	0.26	1.46	7.44	9.08	9.22
73861.04988062898	66.90743200257697	0.0	74.24	3.12	74.24	39.22	27.94	0.20016651105138583	1.34	6.7666	0.28	1.48	7.64	9.34	9.48
73296.57203081113	70.19703687962826	0.0	74.7	3.2	74.7	39.46	28.96	0.20603506902285318	1.36	6.866400000000001	0.3	1.54	8.02	9.68	9.72
70434.09575219397	69.14993442355055	0.0	75.14	3.28	75.14	39.6	29.74	0.2122657494974634	1.38	7.066200000000001	0.3	1.56	8.3	9.94	9.94
65423.55060776487	70.39596725683704	0.0	75.72	3.46	75.72	39.98	30.4	0.21825594739772738	1.44	7.245600000000001	0.3	1.64	8.5	10.18	10.08
54716.38410973273	73.56907987172603	0.0	76.32	3.62	76.32	40.38	31.26	0.22357022282994293	1.46	7.445400000000002	0.3	1.68	8.8	10.46	10.32
34209.89970773654	82.36420085047567	0.0	76.98	3.84	76.98	40.86	32.02	0.22864255219221555	1.52	7.884800000000001	0.3	1.72	9.12	10.74	10.44
43113.60157946543	86.90388152423724	0.0	77.36	3.86	77.36	41.06	33.16	0.23366683044689804	1.58	8.384200000000003	0.3	1.76	9.48	11.18	10.74
33677.749290345484	87.35815049767733	0.0	78.1	3.96	78.1	41.4	34.12	0.23910619821464002	1.62	8.523800000000001	0.32	1.8	9.74	11.5	11.08
35826.06283696404	86.34549560900751	0.0	78.8	3.98	78.8	41.68	34.9	0.24438534326000066	1.68	8.863200000000004	0.34	1.8	9.9	11.76	11.44
44311.53105752679	84.00635168200411	0.0	79.34	3.98	79.34	41.9	35.8	0.24990702030115566	1.7	8.963000000000005	0.34	1.84	10.22	12.06	11.68
39405.822299032196	74.12505598989183	0.0	80.38	4.0	80.38	42.42	36.78	0.2556156522783015	1.72	9.162800000000006	0.38	1.88	10.54	12.42	11.94
48094.0826201447	60.7050383035346	0.0	81.52	4.0	81.52	42.98	37.48	0.26066184129297293	1.8	9.642000000000003	0.38	1.94	10.74	12.58	12.22
54209.808701675414	60.561076403743044	0.0	82.44	4.0	82.44	43.48	38.4	0.26563051986497116	1.9	10.221000000000005	0.38	2.02	10.98	12.9	12.5
52649.48889439294	53.896695770011064	0.0	83.38	4.0	83.38	43.92	39.22	0.2706289211829406	1.96	10.500400000000006	0.38	2.02	11.28	13.12	12.8
68473.40046413138	53.91343687522626	0.0	84.02	4.0	84.02	44.24	40.06	0.27606976268793326	1.96	10.500400000000006	0.38	2.06	11.54	13.4	13.06
74919.99988378996	59.963033362468174	0.0	84.64	4.0	84.64	44.6	41.06	0.28166392338861274	1.96	10.500400000000006	0.4	2.1	11.74	13.78	13.44
84210.5802579	62.78621998556842	0.0	85.26	4.0	85.26	44.96	41.68	0.28730568756931335	1.96	10.500400000000006	0.4	2.14	11.92	14.04	13.58
102604.44430959086	62.48540786922166	0.0	85.78	4.0	85.78	45.2	42.88	0.2933009519217657	1.96	10.500400000000006	0.4	2.2	12.28	14.46	13.94
113085.00362988397	70.66416507698284	0.0	86.16	4.0	86.16	45.36	43.52	0.29958492446448054	2.02	10.899800000000006	0.4	2.22	12.52	14.64	14.14
126696.80157959535	79.09342257080732	0.0	86.5	4.0	86.5	45.58	44.28	0.3062117984648339	2.04	10.999600000000008	0.4	2.26	12.82	14.9	14.3
145984.5482049298	83.91256883451437	0.0	86.86	4.0	86.86	45.86	44.84	0.3126336806278446	2.06	11.099400000000008	0.46	2.28	13.0	15.04	14.52
128163.97035845547	82.57932860292104	0.0	87.4	4.0	87.4	46.06	45.78	0.31944596402791936	2.08	11.139200000000008	0.48	2.46	13.3	15.22	14.8
